agency_cd,site_no,site_tp_cd,lev_dt,lev_tm,lev_tz_cd,lev_va,sl_lev_va,sl_datum_cd,lev_status_cd,lev_agency_cd,lev_dt_acy_cd,lev_acy_cd,lev_src_cd,lev_meth_cd,lev_age_cd
USGS,372326101545601.00,GW,8/1/1939,,,118,,,,USGS,D,2,S,S,A
USGS,372402101400701.00,GW,4/1/1960,,,132,,,,USGS,D,2,S,S,A
USGS,372451101553601.00,GW,9/1/1939,,,155,,,,USGS,D,2,S,S,A
USGS,372708101524401.00,GW,9/1/1939,,,193,,,,USGS,D,2,S,S,A
USGS,372741101551901.00,GW,9/1/1939,,,165,,,,USGS,D,2,S,S,A
USGS,372833102014901.00,GW,8/1/1939,,,125,,,,,D,2,R,R,A
USGS,373018101521101.00,GW,3/1/1960,,,222,,,,USGS,D,2,S,S,A
USGS,373018101521101.00,GW,3/3/1960,,,222.1,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/28/1965,,,199.98,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,11/16/1965,,,223.5,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/24/1966,,,221.26,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/20/1967,,,216.91,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,6/6/1967,,,220.05,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,9/20/1967,,,214.4,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,12/19/1967,,,202.71,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/18/1968,,,201.51,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,9/17/1968,,,199.75,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/21/1969,,,202.28,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,4/15/1969,,,196.5,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,9/24/1969,,,204.72,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,12/17/1969,,,201.48,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/21/1970,,,215.7,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,12/28/1970,,,254.38,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/20/1971,,,218.8,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,3/16/1971,,,221.81,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,12/22/1971,,,218.17,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/20/1972,,,221.77,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,6/21/1972,,,226.37,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,10/3/1972,,,218.48,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,12/11/1973,,,211.54,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,12/4/1974,,,225.37,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,3/11/1975,,,226.04,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,6/18/1975,,,220.06,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,6/9/1976,,,219.35,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/19/1977,,,206.88,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,3/7/1977,,,211.61,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,6/21/1977,,,214.45,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,9/19/1977,,,214.9,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/17/1978,,,208.58,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,3/20/1978,,,208.91,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,6/27/1978,,,201.37,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,2/1/1979,,,202.85,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,3/14/1979,,,202.3,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,3/20/1979,,,201.62,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,6/12/1979,,,210.91,,,,,D,2,U,U,A
USGS,373018101521101.00,GW,4/8/1980,,,203.06,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,10/13/1980,,,211.37,,,R,,D,2,U,S,A
USGS,373018101521101.00,GW,1/22/1981,,,200.53,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,4/7/1981,,,200.12,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,10/20/1981,,,212.21,,,R,,D,2,U,S,A
USGS,373018101521101.00,GW,1/20/1982,,,203.38,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,4/6/1982,,,205.37,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,10/12/1982,,,215.23,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/26/1983,,,202.35,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,7/13/1983,,,214.38,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,10/12/1983,,,212.21,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/4/1984,,,205.8,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,4/17/1984,,,204.54,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,8/8/1984,,,207.06,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,11/6/1984,,,206.97,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,2/4/1985,,,205.22,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,8/8/1985,,,207.01,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,10/2/1985,,,211.3,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/8/1986,,,199.82,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,10/14/1986,,,212.01,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/7/1987,,,206.29,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/6/1988,,,205.13,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,3/9/1988,,,204.99,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,10/13/1988,,,200.2,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,1/10/1989,,,207.22,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,5/25/1989,,,204.29,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,6/19/1989,,,224.8,,,,,D,2,U,S,A
USGS,373018101521101.00,GW,10/24/1989,,,229.89,,,,,D,2,U,S,A
